ISTAT,comune,casi,tasso
56001,ACQUAPENDENTE,30,55.16
56002,ARLENA DI CASTRO,0,0
56003,BAGNOREGIO,5,13.85
56004,BARBARANO ROMANO,0,0
56005,BASSANO ROMANO,17,35.02
56006,BASSANO IN TEVERINA,2,15.63
56007,BLERA,5,15.2
56008,BOLSENA,7,17.76
56009,BOMARZO,0,0
56010,CALCATA,2,21.57
56011,CANEPINA,8,26.45
56012,CANINO,0,0
56013,CAPODIMONTE,4,23.28
56014,CAPRANICA,12,18.66
56015,CAPRAROLA,4,7.41
56016,CARBOGNANO,1,5.06
56017,CASTEL SANT'ELIA,0,0
56018,CASTIGLIONE IN TEVERINA,3,12.93
56019,CELLENO,51,381.74
56020,CELLERE,2,17.12
56021,CIVITA CASTELLANA,53,32.59
56022,CIVITELLA D'AGLIANO,0,0
56023,CORCHIANO,3,7.91
56024,FABRICA DI ROMA,10,12.11
56025,FALERIA,6,28.1
56026,FARNESE,0,0
56027,GALLESE,1,3.54
56028,GRADOLI,3,22.26
56029,GRAFFIGNANO,6,26.95
56030,GROTTE DI CASTRO,7,26.4
56031,ISCHIA DI CASTRO,0,0
56032,LATERA,0,0
56033,LUBRIANO,1,11.2
56034,MARTA,12,35.13
56035,MONTALTO DI CASTRO,8,8.91
56036,MONTEFIASCONE,42,31.12
56037,MONTE ROMANO,5,25.48
56038,MONTEROSI,21,46.07
56039,NEPI,28,29.32
56040,ONANO,1,10.1
56041,ORIOLO ROMANO,14,37.03
56042,ORTE,22,25.01
56043,PIANSANO,6,30.38
56044,PROCENO,2,33.22
56045,RONCIGLIONE,28,32.8
56046,VILLA SAN GIOVANNI IN TUSCIA,4,30.51
56047,SAN LORENZO NUOVO,5,23.46
56048,SORIANO NEL CIMINO,8,9.65
56049,SUTRI,14,21.07
56050,TARQUINIA,39,23.97
56051,TESSENNANO,2,61.16
56052,TUSCANIA,45,53.77
56053,VALENTANO,2,6.95
56054,VALLERANO,0,0
56055,VASANELLO,1,2.48
56056,VEJANO,0,0
56057,VETRALLA,34,24.25
56058,VIGNANELLO,7,15.48
56059,VITERBO,271,39.97
56060,VITORCHIANO,5,9.55
57001,ACCUMOLI,0,0
57002,AMATRICE,6,24
57003,ANTRODOCO,7,28.02
57004,ASCREA,0,0
57005,BELMONTE IN SABINA,0,0
57006,BORBONA,0,0
57007,BORGOROSE,5,11.15
57008,BORGO VELINO,2,21.25
57009,CANTALICE,6,22.61
57010,CANTALUPO IN SABINA,13,77.29
57011,CASAPROTA,0,0
57012,CASPERIA,9,71.6
57013,CASTEL DI TORA,0,0
57014,CASTELNUOVO DI FARFA,0,0
57015,CASTEL SANT'ANGELO,4,30.72
57016,CITTADUCALE,16,23.81
57017,CITTAREALE,0,0
57018,COLLALTO SABINO,0,0
57019,COLLE DI TORA,0,0
57020,COLLEGIOVE,0,0
57021,COLLEVECCHIO,1,6.41
57022,COLLI SUL VELINO,0,0
57023,CONCERVIANO,26,938.63
57024,CONFIGNI,2,32.79
57025,CONTIGLIANO,77,198.25
57026,COTTANELLO,0,0
57027,FARA IN SABINA,49,35.24
57028,FIAMIGNANO,1,7.48
57029,FORANO,5,15.79
57030,FRASSO SABINO,1,13.07
57031,GRECCIO,6,38.61
57032,LABRO,0,0
57033,LEONESSA,4,17.03
57034,LONGONE SABINO,0,0
57035,MAGLIANO SABINA,2,5.42
57036,MARCETELLI,2,263.16
57037,MICIGLIANO,0,0
57038,MOMPEO,1,19.88
57039,MONTASOLA,0,0
57040,MONTEBUONO,0,0
57041,MONTELEONE SABINO,1,8.13
57042,MONTENERO SABINO,0,0
57043,MONTE SAN GIOVANNI IN SABINA,6,88.11
57044,MONTOPOLI DI SABINA,12,29.11
57045,MORRO REATINO,1,27.4
57046,NESPOLO,1,42.74
57047,ORVINIO,0,0
57048,PAGANICO,0,0
57049,PESCOROCCHIANO,1,4.88
57050,PETRELLA SALTO,14,122.16
57051,POGGIO BUSTONE,2,9.88
57052,POGGIO CATINO,0,0
57053,POGGIO MIRTETO,6,9.39
57054,POGGIO MOIANO,3,11.32
57055,POGGIO NATIVO,1,3.91
57056,POGGIO SAN LORENZO,2,36.36
57057,POSTA,1,15.41
57058,POZZAGLIA SABINA,0,0
57059,RIETI,290,61.14
57060,RIVODUTRI,4,32.95
57061,ROCCANTICA,0,0
57062,ROCCA SINIBALDA,1,12.82
57063,SALISANO,0,0
57064,SCANDRIGLIA,6,19.11
57065,SELCI,1,9.1
57066,STIMIGLIANO,3,12.93
57067,TARANO,3,20.96
57068,TOFFIA,1,9.5
57069,TORRICELLA IN SABINA,3,21.95
57070,TORRI IN SABINA,30,241.94
57071,TURANIA,0,0
57072,VACONE,0,0
57073,VARCO SABINO,0,0
58001,AFFILE,4,26.63
58002,AGOSTA,6,34.44
58003,ALBANO LAZIALE,177,42.84
58004,ALLUMIERE,13,32.03
